"CODE","DESCRIPTION","LOCAL_DESCRIPTION","COUNTRY_ABBREVIATION","G1"
"PVK","PREVEZA","Πρέβεζα","GR","Prevesa"
"PRI","PRINOS","Πρίνος","GR","Prinos"
"PHA","PSARA","Ψαρά","GR","Psara"
"PSL","PSAROPOULI","Ψαροπούλι","GR","Psaropuli"
"PSE","PSERIMOS","Ψέριμος","GR","Pserimos"
"PYT","PYTHAGORIO","Πυθαγόρειο","GR","Pithagorio"
"RAF","RAFINA","Ραφήνα","GR","Rafina"
"RNO","RETHIMNO","Ρέθυμνο","GR","Rethimno"
"RHO","RODOS","Ρόδος","GR","Rodos"
"SMI","SAMI","Σάμη","GR","Sami"
"SAM","SAMOTHRAKI","Σαμοθράκη","GR","Samothraki"
"SXI","SCHINOUSSA","Σχοινούσσα","GR","Schinussa"
"SER","SERIFOS","Σέριφος","GR","Serifos"
"CSF","SFAKIA","Σφακιά","GR","Sfakia"
"SIF","SIFNOS","Σίφνος","GR","Sifnos"
"SIG","SIGRI","Σίγρι","GR","Sigri"
"SIK","SIKINOS","Σίκινος","GR","Sikinos"
"JSH","SITIA","Σητεία","GR","Sitia"
"JSI","SKIATHOS","Σκιάθος","GR","Skiathos"
"SKO","SKOPELOS","Σκόπελος","GR","Skopelos"
"ANS","SKOPELOS(AGNONTAS)","Σκόπελος(Αγνώντας)","GR","Skopelos(Agnodas)"
"SKU","SKYROS","Σκύρος","GR","Skiros"
"SOG","SOUGIA","Σούγια","GR","Sugia"
"SVA","SOUVALA","Σουβάλα","GR","Suvala"
"SPE","SPETSES","Σπέτσες","GR","Spetses"
"SYM","SYMI","Σύμη","GR","Simi"
"JSY","SYROS","Σύρος","GR","Siros"
"THA","THASSOS","Θάσος","GR","Thassos"
"SKG","THESSALONIKI","Θεσσαλονίκη","GR","Thessaloniki"
"THY","THIMAINA(FOURNOI)","Θύμαινα(Φούρνοι)","GR","Thimena(Furni)"
"JTR","THIRA(SANTORINI)","Θήρα(Σαντορίνη)","GR","Thira(Sadorini)"
"TRS","THIRASSIA","Θηρασσία","GR","Thirassia"
"THL","TILOS","Τήλος","GR","Tilos"
"TIN","TINOS","Τήνος","GR","Tinos"
"TOL","TOLO","Τολό","GR","Tolo"
"NTR","TRIKERI ISLAND","Τρίκερι","GR","Trikeri"
"TRY","TRIPITI","Τρυπητή","GR","Tripiti"
"TYR","TYROS","Τύρος","GR","Tiros"
"BTH","VATHI (SAMOS)","Βαθύ Σάμου","GR","Vathi"
"VEN","VENICE","Βενετία","IT","Venetia"
"VLS","VOLISOS","Βολισσός","GR","Volissos"
"VOL","VOLOS","Βόλος","GR","Volos"
"ZTH","ZAKYNTHOS","Ζάκυνθος","GR","Zakinthos"
"ZEA","Marina Zea","Μαρίνα Ζέας","GR","Zea"
