http://publicspending.medialab.ntua.gr/resource/organizations/6093;Δήμος Επιδαύρου
http://publicspending.medialab.ntua.gr/resource/organizations/6095;Δήμος Ερμιονίδας
http://publicspending.medialab.ntua.gr/resource/organizations/6096;Δήμος Ερυμάνθου
http://publicspending.medialab.ntua.gr/resource/organizations/6097;Δήμος Ευρώτα
http://publicspending.medialab.ntua.gr/resource/organizations/6098;Δήμος Ζαγοράς - Μουρεσίου
http://publicspending.medialab.ntua.gr/resource/organizations/6100;Δήμος Ζακύνθου
http://publicspending.medialab.ntua.gr/resource/organizations/6101;Δήμος Ζαχάρως
http://publicspending.medialab.ntua.gr/resource/organizations/6102;Δήμος Ζηρού
http://publicspending.medialab.ntua.gr/resource/organizations/6103;Δήμος Ζίτσας
http://publicspending.medialab.ntua.gr/resource/organizations/6104;Δήμος Ζωγράφου
http://publicspending.medialab.ntua.gr/resource/organizations/6105;Δήμος Ηγουμενίτσας
http://publicspending.medialab.ntua.gr/resource/organizations/6106;Δήμος Ήλιδας
http://publicspending.medialab.ntua.gr/resource/organizations/6107;Δήμος Ηλιούπολης
http://publicspending.medialab.ntua.gr/resource/organizations/6109;Δήμος Ηρακλείου
http://publicspending.medialab.ntua.gr/resource/organizations/6111;Δήμος Θερμαϊκού
http://publicspending.medialab.ntua.gr/resource/organizations/6113;Δήμος Θέρμου
http://publicspending.medialab.ntua.gr/resource/organizations/6114;Δήμος Θεσσαλονίκης
http://publicspending.medialab.ntua.gr/resource/organizations/6116;Δήμος Θήρας
http://publicspending.medialab.ntua.gr/resource/organizations/6117;Δήμος Ιάσμου
http://publicspending.medialab.ntua.gr/resource/organizations/6118;Δήμος Ιεράπετρας
http://publicspending.medialab.ntua.gr/resource/organizations/6119;Δήμος Ιεράς Πόλης Μεσολογγίου
http://publicspending.medialab.ntua.gr/resource/organizations/6120;Δήμος Ιητών
http://publicspending.medialab.ntua.gr/resource/organizations/6121;Δήμος Ιθάκης
http://publicspending.medialab.ntua.gr/resource/organizations/6122;Δήμος Ικαρίας
http://publicspending.medialab.ntua.gr/resource/organizations/6123;Δήμος Ιλίου
http://publicspending.medialab.ntua.gr/resource/organizations/6125;Δήμος Ιωαννιτών
http://publicspending.medialab.ntua.gr/resource/organizations/6126;Δήμος Καβάλας
http://publicspending.medialab.ntua.gr/resource/organizations/6127;Δήμος Καισαριανής
http://publicspending.medialab.ntua.gr/resource/organizations/6128;Δήμος Καλαβρύτων
http://publicspending.medialab.ntua.gr/resource/organizations/6129;Δήμος Καλαμαριάς
http://publicspending.medialab.ntua.gr/resource/organizations/6130;Δήμος Καλαμάτας
http://publicspending.medialab.ntua.gr/resource/organizations/6131;Δήμος Καλαμπάκας
http://publicspending.medialab.ntua.gr/resource/organizations/6132;Δήμος Καλλιθέας
http://publicspending.medialab.ntua.gr/resource/organizations/6133;Δήμος Καλυμνίων
http://publicspending.medialab.ntua.gr/resource/organizations/6134;Δήμος Καντάνου - Σέλινου
http://publicspending.medialab.ntua.gr/resource/organizations/6135;Δήμος Καρδίτσας
http://publicspending.medialab.ntua.gr/resource/organizations/6136;Δήμος Καρπάθου
http://publicspending.medialab.ntua.gr/resource/organizations/6137;Δήμος Καρπενησίου
http://publicspending.medialab.ntua.gr/resource/organizations/6140;Δήμος Κασσάνδρας
http://publicspending.medialab.ntua.gr/resource/organizations/6141;Δήμος Καστοριάς
http://publicspending.medialab.ntua.gr/resource/organizations/6142;Δήμος Κατερίνης
http://publicspending.medialab.ntua.gr/resource/organizations/6144;Δήμος Κέας
http://publicspending.medialab.ntua.gr/resource/organizations/6145;Δήμος Κεντρικών Τζουμέρκων
